rank,tier,title,year,authors,venue,doi,url,cited_by_count,category,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,source,abstract,concepts
689,landscape,"Common ground, common sense, common good",2025,,Talent for Giving,10.5040/9781399418768.0011,https://doi.org/10.5040/9781399418768.0011,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",the robot does not need to spend action budget on diagnostic tests,material parameters,same-named object with opposite affordance,makes symbolic commonsense facts and knowledge-base affordances non-novel,auditable failure certificates for rejected actions,crossref:embodied common sense robotics,,
690,landscape,"Pejn, republikanizam i Biblija: „Common Sense” kao jevanđelje američke revolucije",2025,Mihailo Dubovina,Humanities,10.63356/stes.hum.2025.009,https://doi.org/10.63356/stes.hum.2025.009,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",a plan-level success score is enough to expose local physical impossibility,distribution of counterfeit or unusual objects,sensor probe is noisy or unavailable,makes symbolic commonsense facts and knowledge-base affordances non-novel,cost-aware selection among micro-experiments,crossref:embodied common sense robotics,"Introduction: Thomas Paine was born in Thetford, England, into an atypical family. His father, Joseph, was a Quaker and artisan, and his mother, Frances, was an Anglican and the daughter of an attorney. Paine spent more than three and a half decades of his life as nothing more than one of many representatives of the English working class. With his departure to America, he became one of the key figures of the coming revolution and the author of the famous pamphlet through which he would shake the foundations of British imperialism and decisively oppose the principle of royal authority based on the foundations of the Bible. Aim: The aim is to analyse the relationship between Paine’s political persona, the republican principles he presents in Common Sense, and the Biblical text in a propaganda and ideological sense, in order to better understand the epochal importance of Paine’s political thought expressed in what is probably his most famous pamphlet. Materials and Methods: The primary literature used in this paper was Common Sense itself, as well as the Bible. In addition, several previously published biographies of Paine available to us were used to understand the life circumstances that led Paine to write his Common Sense. To better understand Paine’s political thought within the pamphlet, various literary, comparative literary, philosophical, and historical analyses were applied. Results: Despite different external influences, it can be stated that Paine’s political thought was authentic and unique. Through his unmatched style, Paine’s pamphlet became famous as a bestseller of its kind in America, but also throughout Europe. Although the biblical passages on Gideon and Samuel (Book of Judges and the First Book of Samuel) occupy a central place, Paine also refers to other Old Testament books such as Exodus and Genesis, and there are also traces of possible influence of New Testament thought on Paine. Conclusion: Paine combines the narrative of biblical condemnation of monarchy with the idea of American exceptionalism, thereby creating in his readers the perception of the American republican revolution as the only correct and also the only possible solution to the political crisis.",
691,landscape,The history of ‘common sense’ matters when caring for our common home,2025,Barbara Leckie,,10.64628/aam.7cvyqkq7h,https://doi.org/10.64628/aam.7cvyqkq7h,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",the environment will not include adversarially relabeled or modified artifacts,embodiment and end-effector geometry,novel object whose visible geometry is misleading,makes symbolic commonsense facts and knowledge-base affordances non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:embodied common sense robotics,,
692,landscape,Learning hierarchical control for robust in-hand manipulation,2022,Tingguang Li,"Tactile Sensing, Skill Learning, and Robotic Dexterous Manipulation",10.1016/b978-0-32-390445-2.00017-9,https://doi.org/10.1016/b978-0-32-390445-2.00017-9,1,manipulation skill learning,make robot manipulation robust to object and scene variation,interactive contact probe and sensor classifier,a static dataset contains the relevant rare counterexamples,the mapping from words to object instances,same-named object with opposite affordance,makes skill-conditioned manipulation policies non-novel,auditable failure certificates for rejected actions,crossref:robot affordance learning manipulation,,
693,landscape,Exploring Development of Embodied Number Sense During Interactions With Multitouch Technology,2020,Stephen Tucker,Proceedings of the 2020 AERA Annual Meeting,10.3102/1564626,https://doi.org/10.3102/1564626,1,supporting embodied AI,improve embodied-agent behavior under partial physical information,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,"load, volume, temperature, and other task demands",diagnostic action changes the object state or consumes scarce resources,makes broad embodied AI benchmarking or representation learning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:embodied common sense robotics,,
694,landscape,"Common Sense, Philosophy, and Mental Disturbance: A Wittgensteinian Outlook",2018,Anna Boncompagni,Studies in Brain and Mind,10.1007/978-3-319-73993-9_14,https://doi.org/10.1007/978-3-319-73993-9_14,4,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",the robot does not need to spend action budget on diagnostic tests,"load, volume, temperature, and other task demands",task demand outside the training range,makes symbolic commonsense facts and knowledge-base affordances non-novel,operational tests that define the predicate before task execution,crossref:embodied common sense robotics,,
695,landscape,The Delineation of Common Sense,2020,René van Woudenberg,The Cambridge Companion to Common-Sense Philosophy,10.1017/9781108598163.008,https://doi.org/10.1017/9781108598163.008,2,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",training labels encode the same affordance boundary needed at deployment,cost of unsafe false positives,sensor probe is noisy or unavailable,makes symbolic commonsense facts and knowledge-base affordances non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:embodied common sense robotics,,
696,landscape,Common Sense and Ordinary Language: Wittgenstein and Austin,2020,Krista Lawlor,The Cambridge Companion to Common-Sense Philosophy,10.1017/9781108598163.007,https://doi.org/10.1017/9781108598163.007,2,embodied commonsense knowledge,ground linguistic or text-derived priors in robot actions,language-conditioned scoring or plan generation,object names remain correlated with their physical affordances,material parameters,novel object whose visible geometry is misleading,makes symbolic commonsense facts and knowledge-base affordances non-novel,operational tests that define the predicate before task execution,crossref:embodied common sense robotics,,
697,landscape,Autonomously learning to visually detect where manipulation will succeed,2014,Hai Nguyen; Charles C. Kemp,Autonomous Robots,10.1007/s10514-013-9363-y,https://doi.org/10.1007/s10514-013-9363-y,9,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,embodiment and end-effector geometry,rare material state dominates success but is not represented in labels,makes skill-conditioned manipulation policies non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
698,landscape,Learning Rearrangement Manipulation via Scene Prediction in Point Cloud,2024,Anji Ma; Xingguang Duan,IEEE Robotics and Automation Letters,10.1109/lra.2024.3414265,https://doi.org/10.1109/lra.2024.3414265,0,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,distribution of counterfeit or unusual objects,planner accepts a semantically plausible but physically impossible step,makes skill-conditioned manipulation policies non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
699,landscape,Learning Decentralized Controllers for Segregation of Heterogeneous Robot Swarms with Graph Neural Networks,2022,Oyindamola Omotuyi; Manish Kumar,"2022 International Conference on Manipulation, Automation and Robotics at Small Scales (MARSS)",10.1109/marss55884.2022.9870482,https://doi.org/10.1109/marss55884.2022.9870482,0,supporting embodied AI,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",a plan-level success score is enough to expose local physical impossibility,the set of available diagnostic actions,sensor probe is noisy or unavailable,makes broad embodied AI benchmarking or representation learning non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
700,landscape,Theorising Common Sense,2024,Paul Michael Garrett,Social Work and Common Sense,10.4324/9781003378037-2,https://doi.org/10.4324/9781003378037-2,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",a plan-level success score is enough to expose local physical impossibility,sensor noise and latency,rare material state dominates success but is not represented in labels,makes symbolic commonsense facts and knowledge-base affordances non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:embodied common sense robotics,,
701,landscape,Common Sense Creativity,2024,Paul Michael Garrett,Social Work and Common Sense,10.4324/9781003378037-5,https://doi.org/10.4324/9781003378037-5,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",the robot does not need to spend action budget on diagnostic tests,material parameters,novel object whose visible geometry is misleading,makes symbolic commonsense facts and knowledge-base affordances non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:embodied common sense robotics,,
702,landscape,Giambattista Vico's dialogical common sense,2024,Ivana Marková,AI and Common Sense,10.4324/9781032626192-12,https://doi.org/10.4324/9781032626192-12,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making","skill preconditions are stable across materials, wear, and hidden state",embodiment and end-effector geometry,planner accepts a semantically plausible but physically impossible step,makes symbolic commonsense facts and knowledge-base affordances non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:embodied common sense robotics,,
703,landscape,"Common sense, artificial intelligence and psychology",2024,Laura Bartlett,AI and Common Sense,10.4324/9781032626192-10,https://doi.org/10.4324/9781032626192-10,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",the environment will not include adversarially relabeled or modified artifacts,the mapping from words to object instances,rare material state dominates success but is not represented in labels,makes symbolic commonsense facts and knowledge-base affordances non-novel,operational tests that define the predicate before task execution,crossref:embodied common sense robotics,,
704,landscape,Common sense management,2024,Gary English,Phoenix Without the Ashes,10.4324/9781003579182-19,https://doi.org/10.4324/9781003579182-19,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,friction and contact conditions,task demand outside the training range,makes symbolic commonsense facts and knowledge-base affordances non-novel,cost-aware selection among micro-experiments,crossref:embodied common sense robotics,,
705,landscape,Common-sense Psychology Vindicated,2024,Emma Borg,Acting for Reasons,10.1093/9780198929031.003.0013,https://doi.org/10.1093/9780198929031.003.0013,0,supporting embodied AI,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",training labels encode the same affordance boundary needed at deployment,distribution of counterfeit or unusual objects,"false positive that causes spill, drop, breakage, or collision",makes broad embodied AI benchmarking or representation learning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:embodied common sense robotics,"Abstract This chapter explores the challenge to common-sense psychology (CP) posed by deflationary accounts of action understanding, distinguishing between supplanting and supplementing versions. Supplanting versions argue for the almost total replacement of CP by a simpler account, while supplementary versions argue for a simpler approach for infants and/or animals, leaving claims about typical adult action understanding untouched. I argue that, while supplanting versions clearly undermine CP, the dispute with supplementary views is more nuanced. It is then argued that the supplanting challenge to CP can be rejected, while the supplementing challenge is undercut by the moderate account of reasons and reasoning adopted throughout the book. Together with the defence of CP’s account of action generation in previous chapters, this defence of CP’s model of action understanding completes the defence of the common-sense view. Despite apparent empirical evidence to the contrary, we should preserve the view that, typically, people do what they do for the reasons they have.",
706,landscape,Self-driving vehicles (SDVs) and common sense 9,2024,Chris Tennant,AI and Common Sense,10.4324/9781032626192-21,https://doi.org/10.4324/9781032626192-21,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,the mapping from words to object instances,planner accepts a semantically plausible but physically impossible step,makes symbolic commonsense facts and knowledge-base affordances non-novel,formal error bounds under label-preserving affordance flips,crossref:embodied common sense robotics,,
707,landscape,"When artificial intelligence meets common sense, frictions will arise",2024,Bernard Schiele,AI and Common Sense,10.4324/9781032626192-2,https://doi.org/10.4324/9781032626192-2,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,material parameters,diagnostic action changes the object state or consumes scarce resources,makes symbolic commonsense facts and knowledge-base affordances non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:embodied common sense robotics,,
708,landscape,Colonial Common Sense and ‘Decolonising’ Social Work,2024,Paul Michael Garrett,Social Work and Common Sense,10.4324/9781003378037-8,https://doi.org/10.4324/9781003378037-8,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",object names remain correlated with their physical affordances,"object damage such as holes, cracks, dull edges, and blocked openings","false positive that causes spill, drop, breakage, or collision",makes symbolic commonsense facts and knowledge-base affordances non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:embodied common sense robotics,,
709,landscape,Hume and the Common Sense Philosophers,2018,James A. Harris,Oxford Scholarship Online,10.1093/oso/9780198783909.003.0008,https://doi.org/10.1093/oso/9780198783909.003.0008,0,manipulation skill learning,supply commonsense knowledge for embodied decision making,grasp-quality model trained from trials,visual appearance exposes the variables needed for safe action,sensor noise and latency,same-named object with opposite affordance,makes skill-conditioned manipulation policies non-novel,auditable failure certificates for rejected actions,crossref:embodied common sense robotics,"Hume anticipated the principal objection that the Scottish common sense philosophers would have to his scepticism. In An Enquiry concerning Human Understanding he sought to make it clear that the scepticism of the Treatise was not conceived of as a scepticism that would affect everyday life. It was not a scepticism that would destabilize moral and other practical beliefs. The common sense philosophers misrepresented Hume’s scepticism insofar as they failed to grasp this point, and therefore failed to grasp the crucial difference between Hume’s scepticism and ancient scepticism. Despite this misunderstanding on their part, common sense philosophers like Campbell and Reid were taken seriously by Hume. The fact that he did not respond in detail to their criticisms is not evidence that he thought them philosophically incompetent.",
710,landscape,Common sense and organizational excellence,2024,Gary English,Phoenix Without the Ashes,10.4324/9781003579182-3,https://doi.org/10.4324/9781003579182-3,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",the robot does not need to spend action budget on diagnostic tests,the set of available diagnostic actions,"false positive that causes spill, drop, breakage, or collision",makes symbolic commonsense facts and knowledge-base affordances non-novel,operational tests that define the predicate before task execution,crossref:embodied common sense robotics,,
711,landscape,"Bowlbyism, Common Sense and Child Attachment Theory",2024,Paul Michael Garrett,Social Work and Common Sense,10.4324/9781003378037-4,https://doi.org/10.4324/9781003378037-4,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,the mapping from words to object instances,rare material state dominates success but is not represented in labels,makes symbolic commonsense facts and knowledge-base affordances non-novel,auditable failure certificates for rejected actions,crossref:embodied common sense robotics,,
712,landscape,Two Challenges to Common-sense Psychology,2024,Emma Borg,Acting for Reasons,10.1093/9780198929031.003.0003,https://doi.org/10.1093/9780198929031.003.0003,0,supporting embodied AI,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making","skill preconditions are stable across materials, wear, and hidden state",friction and contact conditions,same-named object with opposite affordance,makes broad embodied AI benchmarking or representation learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:embodied common sense robotics,"Abstract Experimental work on ordinary decision-making apparently shows, contra the approach of common-sense psychology (CP), that very often people fail to consult their reasons and instead act on gut-feels and intuitions, plagued by biases and flaws in reasoning. However, while there is general agreement that the experimental work in question undermines the CP approach, getting clear on the precise worry takes work. I identify two distinct objections opponents of CP might have in mind: first, that people do not look to reasons at all when deciding what to do. Second, that people tend not to look to reasons properly. I label these the No Reasons and the Insufficient Reasons challenges. This chapter explores both challenges and sets out the evidence for them.",
713,landscape,Common-sense attributions of AI agency,2024,Fabian Anicker; Florian Golo Flaßhoff,AI and Common Sense,10.4324/9781032626192-18,https://doi.org/10.4324/9781032626192-18,0,supporting embodied AI,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,"load, volume, temperature, and other task demands",sensor probe is noisy or unavailable,makes broad embodied AI benchmarking or representation learning non-novel,formal error bounds under label-preserving affordance flips,crossref:embodied common sense robotics,,
714,landscape,Giving AI some common sense 1,2024,Ronald J. Brachman; Hector J. Levesque,AI and Common Sense,10.4324/9781032626192-7,https://doi.org/10.4324/9781032626192-7,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",semantic categories can be mapped to robot-specific capabilities without recalibration,the mapping from words to object instances,rare material state dominates success but is not represented in labels,makes symbolic commonsense facts and knowledge-base affordances non-novel,formal error bounds under label-preserving affordance flips,crossref:embodied common sense robotics,,
715,landscape,"Common Sense, the Subaltern and Hegemony",2024,Arun Kumar Patnaik,Gramsci and South Asia,10.4324/9781003320043-3,https://doi.org/10.4324/9781003320043-3,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making","skill preconditions are stable across materials, wear, and hidden state",sensor noise and latency,diagnostic action changes the object state or consumes scarce resources,makes symbolic commonsense facts and knowledge-base affordances non-novel,formal error bounds under label-preserving affordance flips,crossref:embodied common sense robotics,,
716,landscape,"Social Work, Common Sense and Anti-Anger Ideology",2024,Paul Michael Garrett,Social Work and Common Sense,10.4324/9781003378037-6,https://doi.org/10.4324/9781003378037-6,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making","skill preconditions are stable across materials, wear, and hidden state",embodiment and end-effector geometry,same-named object with opposite affordance,makes symbolic commonsense facts and knowledge-base affordances non-novel,auditable failure certificates for rejected actions,crossref:embodied common sense robotics,,
717,landscape,Self-awareness and common sense – The paradox of AI,2024,Alexandre Schiele; Bernard Schiele,AI and Common Sense,10.4324/9781032626192-5,https://doi.org/10.4324/9781032626192-5,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,"load, volume, temperature, and other task demands","false positive that causes spill, drop, breakage, or collision",makes symbolic commonsense facts and knowledge-base affordances non-novel,formal error bounds under label-preserving affordance flips,crossref:embodied common sense robotics,,
718,landscape,"History, Common Sense and the ‘Unmarried Mother’ in Ireland",2024,Paul Michael Garrett,Social Work and Common Sense,10.4324/9781003378037-3,https://doi.org/10.4324/9781003378037-3,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",the robot does not need to spend action budget on diagnostic tests,"load, volume, temperature, and other task demands",same-named object with opposite affordance,makes symbolic commonsense facts and knowledge-base affordances non-novel,cost-aware selection among micro-experiments,crossref:embodied common sense robotics,,
719,landscape,Conclusion – Towards a New Common Sense for Social Work?,2024,Paul Michael Garrett,Social Work and Common Sense,10.4324/9781003378037-10,https://doi.org/10.4324/9781003378037-10,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",a static dataset contains the relevant rare counterexamples,distribution of counterfeit or unusual objects,same-named object with opposite affordance,makes symbolic commonsense facts and knowledge-base affordances non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:embodied common sense robotics,,
720,landscape,Acting for Reasons,2024,Emma Borg,Acting for Reasons,10.1093/9780198929031.003.0001,https://doi.org/10.1093/9780198929031.003.0001,0,supporting embodied AI,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",a static dataset contains the relevant rare counterexamples,embodiment and end-effector geometry,diagnostic action changes the object state or consumes scarce resources,makes broad embodied AI benchmarking or representation learning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:embodied common sense robotics,"Abstract A traditional view in philosophy, known as ‘common-sense’ or ‘folk’ psychology, holds that representational mental states—paradigmatically, propositional attitudes like beliefs and desires—lie at the heart of intentional action and social cognition. According to this view, intentional or deliberate actions are responses to mental states which capture a person’s reasons for action: I open the cookie jar because I’d like a cookie and believe there is one in there; I think you will open the cookie jar because I believe you want a cookie and you think there is one in there. This book is an attempt to defend this kind of common-sense approach from three empirically grounded challenges: the No Reasons challenge, the Insufficient Reasons challenge, and the challenge from Deflationary approaches to action understanding. This chapter introduces the view to be defended and the challenges to be explored.",
721,landscape,Common Sense Social Work and the Ambivalent Allure of Human Rights,2024,Paul Michael Garrett,Social Work and Common Sense,10.4324/9781003378037-7,https://doi.org/10.4324/9781003378037-7,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",a static dataset contains the relevant rare counterexamples,"load, volume, temperature, and other task demands",rare material state dominates success but is not represented in labels,makes symbolic commonsense facts and knowledge-base affordances non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:embodied common sense robotics,,
722,landscape,Associations of AI and common sense in the news,2024,Anouk de Jong; Anne M. Dijkstra,AI and Common Sense,10.4324/9781032626192-15,https://doi.org/10.4324/9781032626192-15,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",object names remain correlated with their physical affordances,the mapping from words to object instances,novel object whose visible geometry is misleading,makes symbolic commonsense facts and knowledge-base affordances non-novel,cost-aware selection among micro-experiments,crossref:embodied common sense robotics,,
723,landscape,Latin American Challenges to the Common Sense of the Global North,2024,Paul Michael Garrett,Social Work and Common Sense,10.4324/9781003378037-9,https://doi.org/10.4324/9781003378037-9,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",object names remain correlated with their physical affordances,"object damage such as holes, cracks, dull edges, and blocked openings",same-named object with opposite affordance,makes symbolic commonsense facts and knowledge-base affordances non-novel,cost-aware selection among micro-experiments,crossref:embodied common sense robotics,,
724,landscape,"Political Secularism, Religious Common Sense and the Ayodhya Dispute",2024,With Prithvi Ram Mudiam,Gramsci and South Asia,10.4324/9781003320043-6,https://doi.org/10.4324/9781003320043-6,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",training labels encode the same affordance boundary needed at deployment,sensor noise and latency,diagnostic action changes the object state or consumes scarce resources,makes symbolic commonsense facts and knowledge-base affordances non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:embodied common sense robotics,,
725,landscape,Restoring Common Sense:,2024,Blake McAllister,Restoration and Philosophy,10.2307/jj.28697740.6,https://doi.org/10.2307/jj.28697740.6,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making","skill preconditions are stable across materials, wear, and hidden state",embodiment and end-effector geometry,task demand outside the training range,makes symbolic commonsense facts and knowledge-base affordances non-novel,auditable failure certificates for rejected actions,crossref:embodied common sense robotics,,
726,landscape,"common sense, n. &amp; adj.",2024,,Oxford English Dictionary,10.1093/oed/3681717066,https://doi.org/10.1093/oed/3681717066,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",object names remain correlated with their physical affordances,"object damage such as holes, cracks, dull edges, and blocked openings","false positive that causes spill, drop, breakage, or collision",makes symbolic commonsense facts and knowledge-base affordances non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:embodied common sense robotics,,
727,landscape,Psychology and Common Sense,2024,R. B. Joynson,,10.4324/9781003590576,https://doi.org/10.4324/9781003590576,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",the environment will not include adversarially relabeled or modified artifacts,"load, volume, temperature, and other task demands",planner accepts a semantically plausible but physically impossible step,makes symbolic commonsense facts and knowledge-base affordances non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:embodied common sense robotics,,
728,landscape,Common Sense and Uncommon Sense,2024,Kenneth White,Journal of Scottish Thought,10.57132/jst.130,https://doi.org/10.57132/jst.130,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",a plan-level success score is enough to expose local physical impossibility,sensor noise and latency,planner accepts a semantically plausible but physically impossible step,makes symbolic commonsense facts and knowledge-base affordances non-novel,operational tests that define the predicate before task execution,crossref:embodied common sense robotics,,
729,landscape,Changes over Two Millennia: Eclectic common sense,2024,Guy S. Alitto,The Uniqueness of Chinese Civilization in World History,10.1007/978-981-97-9899-5_1,https://doi.org/10.1007/978-981-97-9899-5_1,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",semantic categories can be mapped to robot-specific capabilities without recalibration,distribution of counterfeit or unusual objects,task demand outside the training range,makes symbolic commonsense facts and knowledge-base affordances non-novel,auditable failure certificates for rejected actions,crossref:embodied common sense robotics,,
730,landscape,Augmentation Device Development for Acquiring Remote Embodied Cognition,2022,Takeshi Fujiwara; Tadatoshi Kurogi,Journal of the Robotics Society of Japan,10.7210/jrsj.40.678,https://doi.org/10.7210/jrsj.40.678,0,supporting embodied AI,improve embodied-agent behavior under partial physical information,"learned representation, dataset, or planner for embodied decision making",the robot does not need to spend action budget on diagnostic tests,cost of unsafe false positives,rare material state dominates success but is not represented in labels,makes broad embodied AI benchmarking or representation learning non-novel,formal error bounds under label-preserving affordance flips,crossref:embodied common sense robotics,,
731,landscape,Chapter Three AN ANALYSIS OF “COMMON SENSE”,2024,,The Japanese Ideology,10.7312/tosa21652-008,https://doi.org/10.7312/tosa21652-008,0,embodied commonsense knowledge,supply commonsense knowledge for embodied decision making,"learned representation, dataset, or planner for embodied decision making",semantic categories can be mapped to robot-specific capabilities without recalibration,"load, volume, temperature, and other task demands",planner accepts a semantically plausible but physically impossible step,makes symbolic commonsense facts and knowledge-base affordances non-novel,cost-aware selection among micro-experiments,crossref:embodied common sense robotics,,
732,landscape,Planning Dexterous Dual-Arm Manipulation,2018,Kensuke Harada,Human Inspired Dexterity in Robotic Manipulation,10.1016/b978-0-12-813385-9.00010-8,https://doi.org/10.1016/b978-0-12-813385-9.00010-8,0,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,visual appearance exposes the variables needed for safe action,embodiment and end-effector geometry,diagnostic action changes the object state or consumes scarce resources,makes feasibility checking inside task-and-motion planning non-novel,operational tests that define the predicate before task execution,crossref:robot physical reasoning manipulation planning,,
733,landscape,Manipulation of biological cells using optical tweezers: Challenges and solutions,2021,Sagar Chowdhury; Atul Thakur; Satyandra K. Gupta,Autonomous Robot-Aided Optical Manipulation for Biological Cells,10.1016/b978-0-12-823449-5.00004-6,https://doi.org/10.1016/b978-0-12-823449-5.00004-6,1,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,"load, volume, temperature, and other task demands",sensor probe is noisy or unavailable,makes skill-conditioned manipulation policies non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
734,landscape,"The replacement hypothesis, robotics, and representation",2019,Lawrence Shapiro,Embodied Cognition,10.4324/9781315180380-8,https://doi.org/10.4324/9781315180380-8,1,supporting embodied AI,improve embodied-agent behavior under partial physical information,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,sensor noise and latency,same-named object with opposite affordance,makes broad embodied AI benchmarking or representation learning non-novel,formal error bounds under label-preserving affordance flips,crossref:embodied common sense robotics,,
735,landscape,Social sense and embodied sensibility,2019,,The Routledge Companion to New Cinema History,10.4324/9781315666051-35,https://doi.org/10.4324/9781315666051-35,1,supporting embodied AI,improve embodied-agent behavior under partial physical information,"learned representation, dataset, or planner for embodied decision making",the environment will not include adversarially relabeled or modified artifacts,cost of unsafe false positives,same-named object with opposite affordance,makes broad embodied AI benchmarking or representation learning non-novel,operational tests that define the predicate before task execution,crossref:embodied common sense robotics,,
